res_type,state_fips,station_id,direct_of_travel,lane_of_travel,year,func_class_code,num_lanes_direc_indicated,sample_type_for_traffic_vol,num_lanes_monitored_for_traffic_vol,method_of_traffic_vol_counting,sample_type_for_vehicle_class,num_lanes_monitored_for_vehicle_class,method_of_vehicle_class,alg_for_vehicle_class,class_sys_for_vehicle_class,sample_type_for_truck_weight,num_lanes_monitored_for_truck_weight,method_of_truck_weighing,calibration_of_weighing_sys,method_of_data_retrieval,type_of_sensor,second_type_of_sensor,primary_purpose,lrs_identification,lrs_location_point,latitude,longitude,shrp_site_identification,prev_station_id,year_station_established,year_station_discontinued,fips_county_code,hpms_sample_type,hpms_sample_identifier,national_highway_sys,posted_route_sign,posted_sign_route_num,concurrent_route_signing,concurrent_signed_route_num,station_location
$1,02,000101,1,0,13,1R,1,T,1,3,H,1,3,G,15," ",0,0," ",2,P,L,P,001700000000," 81967",62351650,150252360,"    ","      ",91,0,001,1,170000008007,1,3,00000003,0,00000000,"PARKS HIGHWAY AT CHULITNA - NB                    "
$1,02,000101,5,0,13,1R,1,T,1,3,H,1,3,G,15," ",0,0," ",2,P,L,P,001700000000," 81967",62351650,150252360,"    ","      ",91,0,001,1,170000008007,1,3,00000003,0,00000000,"PARKS HIGHWAY AT CHULITNA - SB                    "
$1,02,000102,1,0,13,1R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001350000000," 95429","        ","         ","    ","      ",2,0,001,1,135000059140,1,1,"0000A1  ",0,00000000,"GLENN HIGHWAY - SOUTH OF KINGS                    "
$1,02,000102,5,0,13,1R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001350000000," 95429","        ","         ","    ","      ",2,0,001,1,135000059140,1,1,"0000A1  ",0,00000000,"GLENN HIGHWAY - SOUTH OF KINGS                    "
$1,02,000104,1,0,13,1U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001300000000,190018,"        ","         ","    ","      ",90,0,001,1,130000116075,1,1,"0000A3  ",0,00000000,"SEWARD HIGHWAY AT POTTER MARSH                    "
$1,02,000104,5,0,13,1U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001300000000,190018,"        ","         ","    ","      ",90,0,001,1,130000116075,1,1,"0000A3  ",0,00000000,"SEWARD HIGHWAY AT POTTER MARSH                    "
$1,02,000105,1,0,13,3R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001100000000,185785,"        ","         ","    ","      ",91,0,001,1,110000002290,1,0,"000000  ",0,00000000,"STERLING HIGHWAY - NORTH OF AN                    "
$1,02,000105,5,0,13,3R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001100000000,185785,"        ","         ","    ","      ",91,0,001,1,110000002290,1,0,"000000  ",0,00000000,"STERLING HIGHWAY - NORTH OF AN                    "
$1,02,000106,3,0,13,3R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001368000000,"  4869","        ","         ","    ","      ",85,0,001,1,136800000623,0,0,"000000  ",0,00000000,"PALMER-WASILLA HIGHWAY - EAST                     "
$1,02,000106,3,0,13,3U,1,T,1,3,H,1,3,G,15," ",0,0," ",2,P,L,P,001368000000,"  2977",61599368,149212732,"    ","      ",59,0,001,1,136800000623,1,0,00000000,0,00000000,"PALMER-WASILLA HIGHWAY - EAST                     "
$1,02,000106,7,0,13,3R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001368000000,"  4869","        ","         ","    ","      ",85,0,001,1,136800000623,0,0,"000000  ",0,00000000,"PALMER-WASILLA HIGHWAY - EAST                     "
$1,02,000106,7,0,13,3U,1,T,1,3,H,1,3,G,15," ",0,0," ",2,P,L,P,001368000000,"  2977",61599368,149212732,"    ","      ",59,0,001,1,136800000623,1,0,00000000,0,00000000,"PALMER-WASILLA HIGHWAY - EAST                     "
$1,02,000107,3,0,13,1R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001100000000," 82903","        ","         ","    ","      ",85,0,001,1,110000008193,1,1,"        ",0,00000000,"STERLING HIGHWAY - EAST OF SOL                    "
$1,02,000107,7,0,13,1R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001100000000," 82903","        ","         ","    ","      ",85,0,001,1,110000008193,1,1,"        ",0,00000000,"STERLING HIGHWAY - EAST OF SOL                    "
$1,02,000108,1,0,13,1R,3,T,3,3," ",0,0," ",13," ",0,0," ",2,L," ",P,001350000000,"  9983",61290495,149591863,"    ","      ",59,0,001,1,135000006318,1,3,00000001,0,00000000,"GLENN HIGHWAY AT ANCHORAGE SCA                    "
$1,02,000108,1,0,13,1U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001350000000," 15427","        ","         ","    ","      ",85,0,001,1,135000006318,1,1,"0000A1  ",0,00000000,"GLENN HIGHWAY AT ANCHORAGE SCA                    "
$1,02,000108,5,0,13,1R,3,T,3,3," ",0,0," ",13," ",0,0," ",2,L," ",P,001350000000,"  9983",61290495,149591863,"    ","      ",59,0,001,1,135000006318,1,3,00000001,0,00000000,"GLENN HIGHWAY AT ANCHORAGE SCA                    "
$1,02,000108,5,0,13,1U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001350000000," 15427","        ","         ","    ","      ",85,0,001,1,135000006318,1,1,"0000A1  ",0,00000000,"GLENN HIGHWAY AT ANCHORAGE SCA                    "
$1,02,000109,3,0,13,3U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001338990000,"  7074","        ","         ","    ","      ",86,0,001,1,133900002531,1,0,"000000  ",0,00000000,"TUDOR ROAD - WEST OF TUDOR CEN                    "
$1,02,000109,7,0,13,3U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001338990000,"  7074","        ","         ","    ","      ",86,0,001,1,133900002531,1,0,"000000  ",0,00000000,"TUDOR ROAD - WEST OF TUDOR CEN                    "
$1,02,000110,1,0,13,1R,1,T,1,3,H,1,3,G,15," ",0,0," ",2,P,L,P,001700000000," 36427",61772149,150068944,"    ","      ",91,0,001,1,170000036020,1,3,00000003,0,00000000,"PARKS HIGHWAY AT WILLOW - NB                      "
$1,02,000110,5,0,13,1R,1,T,1,3,H,1,3,G,15," ",0,0," ",2,P,L,P,001700000000," 36427",61772149,150068944,"    ","      ",91,0,001,1,170000036020,1,3,00000003,0,00000000,"PARKS HIGHWAY AT WILLOW - SB                      "
$1,02,000111,1,0,13,3R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001100000000,215747,"        ","         ","    ","      ",85,0,001,1,110000000000,1,0,"000000  ",0,00000000,"STERLING HIGHWAY - SOUTH OF KA                    "
$1,02,000111,5,0,13,3R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001100000000,215747,"        ","         ","    ","      ",85,0,001,1,110000000000,1,0,"000000  ",0,00000000,"STERLING HIGHWAY - SOUTH OF KA                    "
$1,02,000112,1,0,13,3U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001341400000,"  6073","        ","         ","    ","      ",90,0,001,1,134140000002,0,0,"000000  ",0,00000000,"LAKE OTIS PARKWAY - SOUTH OF 7                    "
$1,02,000112,5,0,13,3U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001341400000,"  6073","        ","         ","    ","      ",90,0,001,1,134140000002,0,0,"000000  ",0,00000000,"LAKE OTIS PARKWAY - SOUTH OF 7                    "
$1,02,000113,3,0,13,4R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001103000000,"   494","        ","         ","    ","      ",90,0,001,1,110300000000,0,0,"000000  ",0,00000000,"EAST END ROAD - EAST OF PENNOC                    "
$1,02,000113,7,0,13,4R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001103000000,"   494","        ","         ","    ","      ",90,0,001,1,110300000000,0,0,"000000  ",0,00000000,"EAST END ROAD - EAST OF PENNOC                    "
$1,02,000114,1,0,13,4R,1,T,1,3,H,1,3,G,15," ",0,0," ",2,P,L,P,000680000000,"  6525",57772825,152470214,"    ","      ",89,0,001,1,068500000159,1,0,00000000,0,00000000,"REZANOF DRIVE - WEST OF GIBSON                    "
$1,02,000114,1,0,13,4U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,000680000000,"  9472","        ","         ","    ","      ",89,0,001,1,068500000159,1,0,"000000  ",0,00000000,"REZANOF DRIVE - WEST OF GIBSON                    "
$1,02,000114,5,0,13,4R,1,T,1,3,H,1,3,G,15," ",0,0," ",2,P,L,P,000680000000,"  6525",57772825,152470214,"    ","      ",89,0,001,1,068500000159,1,0,00000000,0,00000000,"REZANOF DRIVE - WEST OF GIBSON                    "
$1,02,000114,5,0,13,4U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,000680000000,"  9472","        ","         ","    ","      ",89,0,001,1,068500000159,1,0,"000000  ",0,00000000,"REZANOF DRIVE - WEST OF GIBSON                    "
$1,02,000115,3,0,13,4R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001323000000,"  3202","        ","         ","    ","      ",86,0,001,1,132300000000,1,0,"000000  ",0,00000000,"PORTAGE GLACIER RD - EAST OF S                    "
$1,02,000115,7,0,13,4R,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001323000000,"  3202","        ","         ","    ","      ",85,0,001,1,132300000000,1,0,"000000  ",0,00000000,"PORTAGE GLACIER RD - EAST OF S                    "
$1,02,000116,3,0,13,3U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001335000000,"   667","        ","         ","    ","      ",85,0,001,1,133500000000,0,0,"000000  ",0,00000000,"O'MALLEY ROAD - EAST OF SEWARD                    "
$1,02,000116,7,0,13,3U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001335000000,"   667","        ","         ","    ","      ",85,0,001,1,133500000000,0,0,"000000  ",0,00000000,"O'MALLEY ROAD - EAST OF SEWARD                    "
$1,02,000117,1,0,13,3U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001343420000,"  2172","        ","         ","    ","      ",85,0,001,1,134342000980,0,0,"000000  ",0,00000000,"A STREET AT CHESTER CREEK - NB                    "
$1,02,000117,5,0,13,3U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001343410000,"  3540","        ","         ","    ","      ",85,0,001,1,134341000192,0,0,"000000  ",0,00000000,"C STREET AT CHESTER CREEK - SB                    "
$1,02,000118,3,0,13,3U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001338000000,"  5165","        ","         ","    ","      ",85,0,001,1,133800002789,0,0,"000000  ",0,00000000,"INTERNATIONAL AIRPORT ROAD - W                    "
$1,02,000118,3,0,13,5U,2,T,2,3,H,2,3,G,15," ",0,0," ",2,P,L,P,001338000000,"  3425",61173610,149867622,"    ","      ",64,0,001,1,133800002789,1,0,00000000,0,00000000,"INTERNATIONAL AIRPORT ROAD - W                    "
$1,02,000118,7,0,13,3U,1,T,0,3,N,1,3,G,15," ",0,0," ",2,L," ",P,001338000000,"  5165","        ","         ","    ","      ",85,0,001,1,133800002789,0,0,"000000  ",0,00000000,"INTERNATIONAL AIRPORT ROAD - W                    "
$1,02,000118,7,0,13,5U,2,T,2,3,H,2,3,G,15," ",0,0," ",2,P,L,P,001338000000,"  3425",61173610,149867622,"    ","      ",64,0,001,1,133800002789,1,0,00000000,0,00000000,"INTERNATIONAL AIRPORT ROAD - W                    "
